ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391483.2305,9842942.23,3/22/2016,8:20,27.48,600,0.05,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391480.1806,9842969.54,3/22/2016,8:30,47.9,600,0.08,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391524.4398,9842987.87,3/22/2016,8:40,174.99,600,0.29,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391422.6896,9842845.5,3/22/2016,8:50,97.28,600,0.16,Riverbed,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391482.5904,9842922.15,3/22/2016,9:00,24.3,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391494.98,9842943.05,3/22/2016,9:10,11.68,600,0.02,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391502.4895,9842952,3/22/2016,9:20,136.13,600,0.23,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391373.6599,9842908.03,3/22/2016,9:30,152.65,600,0.25,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391512.4899,9842971.49,3/22/2016,9:40,188.2,600,0.31,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391379.4102,9842838.41,3/22/2016,9:50,165.91,600,0.28,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 9:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391515.6603,9842933.07,3/22/2016,10:00,122.64,600,0.2,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 10:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391400.0101,9842892.25,3/22/2016,10:10,85.53,600,0.14,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 10:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391545.6299,9842937.72,3/24/2016,11:10,90.41,600,0.15,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/24/2016 11:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391680.1402,9842707.32,3/24/2016,16:40,64.53,600,0.11,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/24/2016 16:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391552.7397,9843063.27,3/25/2016,10:30,67.48,600,0.11,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/25/2016 10:30
BB02,Northern Brownbul,Phyllastrephus strepitans,391452.3399,9843103.18,3/13/2016,14:30,8.22,600,0.01,Riverbed,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 14:30
BB02,Northern Brownbul,Phyllastrephus strepitans,391447.06,9843096.88,3/13/2016,14:40,57.72,600,0.1,Riverbed,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 14:40
BB02,Northern Brownbul,Phyllastrephus strepitans,391416.2995,9843060.22,3/13/2016,15:10,41.89,600,0.07,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 15:10
BB02,Northern Brownbul,Phyllastrephus strepitans,391443.2203,9843092.31,3/13/2016,15:20,22.89,600,0.04,Riverbed,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 15:20
BB02,Northern Brownbul,Phyllastrephus strepitans,391428.5105,9843074.77,3/13/2016,15:30,9.43,600,0.02,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 15:30
BB02,Northern Brownbul,Phyllastrephus strepitans,391422.4501,9843067.55,3/13/2016,15:40,15.06,600,0.03,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 15:40
BB02,Northern Brownbul,Phyllastrephus strepitans,391432.1301,9843079.09,3/13/2016,15:50,3.78,600,0.01,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 15:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391413.7897,9843057.23,3/13/2016,16:30,13.47,600,0.02,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 16:30
BB02,Northern Brownbul,Phyllastrephus strepitans,391422.4501,9843067.55,3/13/2016,16:40,29.78,600,0.05,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 16:40
BB02,Northern Brownbul,Phyllastrephus strepitans,391403.3101,9843044.74,3/13/2016,16:50,27.88,600,0.05,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/13/2016 16:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391440.5405,9843078.13,3/14/2016,7:10,7.39,600,0.01,Riverbed,2016,Generalist,Omnivores,50,9.54,26,3/14/2016 7:10
BB02,Northern Brownbul,Phyllastrephus strepitans,391375.0696,9842913.13,3/14/2016,10:50,158.82,600,0.26,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/14/2016 10:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391408.8904,9842848.11,3/14/2016,16:00,117.4,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/14/2016 16:00
BB02,Northern Brownbul,Phyllastrephus strepitans,391432.83,9842891.83,3/15/2016,8:40,229.03,600,0.38,Riverbed,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 8:40
BB02,Northern Brownbul,Phyllastrephus strepitans,391353.2705,9843106.6,3/15/2016,8:50,392.14,600,0.65,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 8:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391413.8702,9842922,3/15/2016,9:40,180.39,600,0.3,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 9:40
BB02,Northern Brownbul,Phyllastrephus strepitans,391515.7803,9842701.71,3/15/2016,15:50,195.72,600,0.33,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 15:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391459.2701,9842752.74,3/15/2016,16:50,45.46,600,0.08,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 16:50
BB02,Northern Brownbul,Phyllastrephus strepitans,391458.3597,9842798.19,3/15/2016,17:00,910.9,600,1.52,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 17:00
BB02,Northern Brownbul,Phyllastrephus strepitans,391164.9305,9843660.53,3/15/2016,17:10,1113.67,600,1.86,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/15/2016 17:10
BB02,Northern Brownbul,Phyllastrephus strepitans,391563.45,9842742.53,3/16/2016,7:30,24.77,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,26,3/16/2016 7:30
BB02,Northern Brownbul,Phyllastrephus strepitans,391587.7795,9842737.88,3/16/2016,7:40,65.32,600,0.11,Agricultural land,2016,Generalist,Omnivores,50,9.54,26,3/16/2016 7:40
